[2020/10/14 20:09:19][CONFIG][initLogger]  [32mLogging initialized.[0m
[2020/10/14 20:09:19][CONFIG][initService]  Starting service...
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Scheme: http://
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Hostname: 0.0.0.0
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Port: 2334
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Path: /api/g
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Number of threads in pool: 5
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Logger output directory: ./logs/
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Logger output file: gateway.log
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Database hostname: localhost
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Database port: 3306
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Database username: root
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Database password provided? true
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Database name: moviedb
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Database driver: com.mysql.cj.jdbc.Driver
[2020/10/14 20:09:19][CONFIG][currentConfigs]  Database connection settings: ?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2020/10/14 20:09:19][CONFIG][currentConfigs]  [IDM] scheme: http://
[2020/10/14 20:09:19][CONFIG][currentConfigs]  [IDM] hostname: 0.0.0.0
[2020/10/14 20:09:19][CONFIG][currentConfigs]  [IDM] port: 2331
[2020/10/14 20:09:19][CONFIG][currentConfigs]  [IDM] path: /api/idm
[2020/10/14 20:09:19][CONFIG][currentConfigs]  [IDM][EP] Register User: /register
[2020/10/14 20:09:19][CONFIG][currentConfigs]  [IDM][EP] Login User: /login
[2020/10/14 20:09:19][CONFIG][currentConfigs]  [IDM][EP] Verify Session: /session
[2020/10/14 20:09:19][CONFIG][currentConfigs]  [IDM][EP] Verify User Privilege: /privilege
